年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2024,安徽,历史,普通本科批,三亚学院,001专业组(不限),,,462,45391,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,历史,普通本科批,三亚学院,004专业组(思想政治),,,470,41759,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,三亚学院,001专业组(不限),,,466,173673,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,三亚学院,002专业组(不限),,,471,167679,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,三亚学院,003专业组(化学),,,474,162666,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,历史,普通本科批,三峡大学,001专业组(不限),,,546,13644,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,三峡大学,001专业组(不限),,,558,56367,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,三峡大学,002专业组(化学),,,591,31282,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,三峡大学,003专业组(化学),,,550,64603,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,三峡大学,004专业组(化学)(中外合作办学),,,604,23280,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,历史,普通本科批,三峡大学科技学院,001专业组(不限),,,483,36448,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,三峡大学科技学院,001专业组(化学),,,490,140638,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,历史,普通本科批,三明学院,001专业组(不限),,,487,34644,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,三明学院,001专业组(不限),,,490,140819,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,三明学院,002专业组(化学),,,496,132425,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,历史,普通本科批,三江学院,001专业组(不限),,,483,36506,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,三江学院,001专业组(不限),,,483,150485,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,三江学院,002专业组(化学),,,485,148080,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,历史,普通本科批,上海中侨职业技术大学,001专业组(不限),,,469,42201,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,上海中侨职业技术大学,001专业组(不限),,,465,175901,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,上海中医药大学,003专业组(化学),,,598,26551,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,上海中医药大学,004专业组(化学)(中外合作办学),,,583,36391,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,历史,普通本科批,上海交通大学,002专业组(不限),,,666,61,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,上海交通大学,003专业组(化学),,,694,90,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,上海交通大学,004专业组(化学),,,686,294,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,上海交通大学医学院,003专业组(化学),,,686,297,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,上海交通大学医学院,004专业组(化学),,,674,1000,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,历史,普通本科批,上海体育大学,001专业组(不限),,,562,9818,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,历史,普通本科批,上海体育大学,002专业组(不限),,,561,10116,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,历史,普通本科批,上海体育大学,003专业组(不限),,,558,10685,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,历史,普通本科批,上海体育大学,004专业组(不限),,,570,8061,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,上海体育大学,001专业组(不限),,,563,51905,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,上海体育大学,002专业组(化学),,,540,74996,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,上海体育大学,003专业组(化学),,,568,47618,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
2024,安徽,物理,普通本科批,上海健康医学院,001专业组(不限),,,526,91312,安徽省教育招生考试院,https://github.com/ZaneLing/GaoKao
