年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2023,北京,综合,本科批,陆军工程大学,01 物理,,,504,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,中国人民公安大学,01 不限,,,621,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,中央美术学院,01 不限,,,617,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,中央戏剧学院,01 不限,,,602,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,北京体育大学,01 不限,,,583,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,北京体育大学,02 物理,,,587,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,北京体育大学,03 物理＋化学,,,591,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,北京体育大学,04 物理＋化学＋生物,,,587,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,北京体育大学,05 思想政治,,,589,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,北京体育大学,06 历史,,,586,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,北京体育大学,07 不限(中外合办),,,448,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,中国社会科学院大学,01 不限,,,637,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,中国社会科学院大学,02 历史＋地理,,,647,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,首都体育学院,01 不限,,,498,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,中国戏曲学院,01 不限,,,528,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,中国戏曲学院,02 不限,,,552,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,中国戏曲学院,03 不限,,,543,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,北京电影学院,01 物理,,,615,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,北京电影学院,02 物理,,,594,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,北京电影学院,03 历史,,,592,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,中国科学院大学,01 物理,,,675,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,中央民族大学,01 不限,,,620,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,中央民族大学,02 物理,,,619,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,中央民族大学,03 物理＋化学＋生物,,,620,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,中央民族大学,04 历史,,,627,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,中央民族大学,05 物理(中外合办),,,608,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,中央民族大学,06 物理＋化学＋生物(中外合办),,,606,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,北京大学,01 不限,,,683,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,北京大学,02 不限,,,691,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,北京大学,03 物理,,,684,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
2023,北京,综合,本科批,北京大学,04 物理＋化学,,,687,,北京教育考试院,https://github.com/scottli139/beijing-gaokao-scores
