年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2022,重庆,历史,本科批,三亚学院,,,19,430,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,三亚学院,,,15,432,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,三亚学院,,,1,455,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,三峡大学,,,6,519,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,三峡大学,,,11,503,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,三峡大学,,,2,529,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,三峡大学,,,4,523,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,三峡大学科技学院,,,2,478,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,三峡大学科技学院,,,2,462,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,三峡大学科技学院,,,6,485,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,三明学院,,,10,482,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,三明学院,,,10,465,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,三明学院,,,5,460,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,三江学院,,,4,478,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,三江学院,,,19,448,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海交通大学,,,12,659,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海交通大学医学院,,,8,662,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海健康医学院,,,24,485,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海健康医学院,,,9,491,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海商学院,,,6,504,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海商学院,,,10,499,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海外国语大学,,,6,589,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海外国语大学,,,8,607,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海外国语大学贤达经济人文学院,,,19,416,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海外国语大学贤达经济人文学院,,,16,431,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海大学,,,6,588,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海大学,,,21,574,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海大学,,,3,597,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海对外经贸大学,,,17,556,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海对外经贸大学,,,33,529,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海工程技术大学,,,2,506,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海工程技术大学,,,32,501,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海工程技术大学,,,6,492,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海师范大学,,,22,536,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海师范大学,,,29,502,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海师范大学天华学院,,,2,478,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海师范大学天华学院,,,2,448,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海应用技术大学,,,31,494,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海应用技术大学,,,3,503,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海建桥学院,,,25,445,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海建桥学院,,,32,432,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海政法学院,,,9,541,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海政法学院,,,9,541,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海海事大学,,,10,546,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海海事大学,,,2,543,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海海事大学,,,10,513,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海海事大学,,,2,545,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海海洋大学,,,6,542,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海海洋大学,,,13,536,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海理工大学,,,26,522,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海电力大学,,,28,530,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海电机学院,,,6,486,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海电机学院,,,10,493,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海立信会计金融学院,,,12,519,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海立信会计金融学院,,,24,512,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海第二工业大学,,,6,502,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海第二工业大学,,,4,491,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海视觉艺术学院,,,6,469,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海视觉艺术学院,,,4,461,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海财经大学,,,14,619,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海财经大学,,,18,626,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上海财经大学浙江学院,,,4,466,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上海财经大学浙江学院,,,6,471,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上饶师范学院,,,11,483,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,上饶师范学院,,,3,499,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上饶师范学院,,,9,472,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,上饶师范学院,,,2,492,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,东北农业大学,,,4,546,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北农业大学,,,10,541,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北农业大学,,,6,537,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北农业大学,,,7,536,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北大学,,,47,582,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,东北大学秦皇岛分校,,,5,576,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北大学秦皇岛分校,,,38,567,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,东北师范大学,,,9,567,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,东北师范大学,,,8,568,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北师范大学,,,16,566,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北师范大学,,,33,563,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北师范大学,,,2,549,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,东北林业大学,,,6,550,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北林业大学,,,10,547,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北林业大学,,,2,548,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北林业大学,,,4,558,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,东北电力大学,,,4,501,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,东北电力大学,,,2,512,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北电力大学,,,31,503,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北电力大学,,,4,509,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,东北石油大学,,,8,489,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北石油大学,,,35,487,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北石油大学,,,6,491,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北石油大学,,,2,494,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北石油大学,,,1,492,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,东北财经大学,,,8,503,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,物理,本科批,东北财经大学,,,11,507,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,重庆,历史,本科批,东华大学,,,8,574,,重庆市教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
