年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2017,甘肃,历史,本科三批,三亚学院,,,,389,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科三批,三亚学院,,,,349,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科一批,三峡大学,,,,515,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科一批,三峡大学,,,,486,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科三批,三峡大学科技学院,,,,403,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科三批,三峡大学科技学院,,,,387,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科二批,三明学院,,,,472,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科二批,三明学院,,,,418,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科三批,三江学院,,,,415,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科三批,三江学院,,,,375,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科一批,上海中医药大学,,,,514,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科一批,上海交通大学,,,,622,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科一批,上海交通大学,,,,654,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科一批,上海交通大学医学院,,,,605,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科二批,上海体育学院,,,,496,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科二批,上海体育学院,,,,436,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科二批,上海商学院,,,,504,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科二批,上海商学院,,,,467,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科一批,上海外国语大学,,,,584,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科一批,上海外国语大学,,,,581,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科三批,上海外国语大学贤达经济人文学院,,,,383,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科三批,上海外国语大学贤达经济人文学院,,,,350,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科一批,上海大学,,,,567,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科一批,上海大学,,,,548,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科一批,上海对外经贸大学,,,,546,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科一批,上海对外经贸大学,,,,530,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科二批,上海工程技术大学,,,,458,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科二批,上海师范大学,,,,509,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科二批,上海师范大学,,,,456,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科三批,上海师范大学天华学院,,,,382,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科三批,上海师范大学天华学院,,,,348,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科二批,上海应用技术大学,,,,499,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科二批,上海应用技术大学,,,,448,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科三批,上海建桥学院,,,,386,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科三批,上海建桥学院,,,,350,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科一批,上海政法学院,,,,525,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科一批,上海政法学院,,,,494,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科三批,上海杉达学院,,,,405,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科三批,上海杉达学院,,,,358,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科一批,上海海事大学,,,,511,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科一批,上海海事大学,,,,501,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科二批,上海海关学院,,,,514,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,物理,本科二批,上海海关学院,,,,475,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,甘肃,历史,本科二批,上海海洋大学,,,,507,,甘肃省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
