年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2022,贵州,历史,本科二批,三亚学院,,,80,471,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,三亚学院,,,62,362,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,三峡大学,,,23,550,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,三峡大学,,,121,457,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,三峡大学科技学院,,,26,489,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,三峡大学科技学院,,,49,364,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,三明学院,,,41,508,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,三明学院,,,160,395,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,三江学院,,,36,484,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,三江学院,,,119,364,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,上海中医药大学,,,37,460,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,上海交通大学,,,1,661,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,上海交通大学,,,11,647,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,上海交通大学医学院,,,13,559,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,上海体育大学,,,5,547,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,上海体育大学,,,39,430,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,上海健康医学院,,,56,366,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,上海兴伟学院,,,7,363,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,上海商学院,,,41,530,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,上海商学院,,,54,427,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,上海外国语大学,,,5,627,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,上海外国语大学,,,6,574,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,上海外国语大学贤达经济人文学院,,,2,473,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,上海外国语大学贤达经济人文学院,,,2,360,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,上海大学,,,10,607,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,上海大学,,,164,506,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,上海对外经贸大学,,,51,556,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,上海对外经贸大学,,,67,452,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,上海工程技术大学,,,18,483,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,上海工程技术大学,,,182,437,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,上海师范大学,,,87,553,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,上海师范大学,,,66,451,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,上海师范大学天华学院,,,62,471,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,上海师范大学天华学院,,,69,360,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,上海应用技术大学,,,28,549,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,上海应用技术大学,,,221,451,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,上海建桥学院,,,15,471,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,上海建桥学院,,,93,360,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,上海戏剧学院,,,5,591,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,上海戏剧学院,,,3,538,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,上海政法学院,,,37,580,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,上海政法学院,,,44,492,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,上海杉达学院,,,,471,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,上海杉达学院,,,2,360,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,上海海事大学,,,29,566,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科提前批,上海海事大学,,,,442,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,上海海洋大学,,,34,569,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,上海海洋大学,,,137,471,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,上海理工大学,,,19,549,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,上海理工大学,,,29,452,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,上海电力大学,,,140,516,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,上海电机学院,,,45,503,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,上海电机学院,,,70,422,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,上海立信会计金融学院,,,25,537,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,上海立信会计金融学院,,,97,434,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,上海第二工业大学,,,28,527,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,上海第二工业大学,,,96,419,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,上海视觉艺术学院,,,3,513,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,上海视觉艺术学院,,,2,367,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,上海财经大学,,,11,635,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,上海财经大学,,,27,589,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,上海财经大学浙江学院,,,15,471,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,上海财经大学浙江学院,,,54,361,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,上饶师范学院,,,7,520,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,上饶师范学院,,,12,430,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,东北农业大学,,,25,575,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,东北农业大学,,,177,473,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,东北大学,,,47,572,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,东北大学秦皇岛分校,,,1,613,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,东北大学秦皇岛分校,,,61,558,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,东北师范大学,,,6,610,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,东北师范大学,,,17,538,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,东北林业大学,,,12,588,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,东北林业大学,,,42,470,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,东北电力大学,,,8,522,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,东北电力大学,,,40,452,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,东北石油大学,,,19,552,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,东北石油大学,,,164,456,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,东北财经大学,,,16,559,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,东北财经大学,,,25,470,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,东华大学,,,46,514,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,东华理工大学,,,10,552,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,东华理工大学,,,56,473,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科一批,东南大学,,,5,635,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科一批,东南大学,,,27,606,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,历史,本科二批,东南大学成贤学院,,,22,476,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,贵州,物理,本科二批,东南大学成贤学院,,,63,361,,贵州省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
