年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2025,河北,物理,本科批,三亚学院,普通类,英语（只招英语语种考生）,,486,183545,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,物理,本科批,三亚学院,普通类,国际经济与贸易,,471,206836,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,物理,本科批,三亚学院,普通类,软件工程,,469,209841,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,物理,本科批,三亚学院,普通类,电子信息工程,,468,211317,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,物理,本科批,三亚学院,普通类,通信工程,,468,211317,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,物理,本科批,三亚学院,普通类,数字经济,,467,212828,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,物理,本科批,三亚学院,普通类,跨境电子商务,,467,212828,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,物理,本科批,三亚学院,普通类,新能源科学与工程,,462,220074,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,物理,本科批,三亚学院,普通类,工商管理,,462,220074,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,物理,本科批,三亚学院,普通类,车辆工程,,461,221488,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,历史,本科批,上海交通大学,普通类,法学试验班（含双学士学位项目）（含法学专业；含法学-经济学双学士学位项目）,,667,76,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,历史,本科批,上海交通大学,普通类,人文科学试验班（国务学院，含双学士学位项目）（含行政管理专业；含行政管理-法学双学士学位项目。可选拔至PPE专业方向）,,663,129,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,历史,本科批,上海交通大学,普通类,人文科学试验班（人文学院）（含汉语言文学（中外文化交流）专业）,,660,167,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,历史,本科批,上海交通大学,普通类,人文科学试验班（媒传学院，传播方向）（含传播学专业）,,660,167,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,物理,本科批,上海交通大学,中外合作,电子信息类（中外合作办学）（浦江国际学院，原密西根学院）（含机械工程（中外合作办学）、电子与计算机工程（中外合作办学）专业；含电子与计算机工程-工商管理双学士学位项目）,,669,788,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,物理,本科批,上海交通大学,国家专项计划,工科试验班类（国家专项计划）（溥渊未来技术学院，健康方向）,,678,330,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,物理,本科批,上海交通大学,国家专项计划,经济管理试验班（国家专项计划）（含双学士学位项目）,,674,501,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,河北,物理,本科批,上海交通大学,国家专项计划,工科试验班类（国家专项计划）,,668,868,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
