年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2017,黑龙江,历史,本科三批A段,三亚学院,,,,354,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科三批A段,三亚学院,,,,326,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批B段,三峡大学,,,,492,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科三批A段,三峡大学科技学院,,,,354,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科二批B段,三明学院,,,,411,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批B段,三明学院,,,,364,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批A段,上海交通大学,,,,627,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,上海交通大学,,,,674,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,上海交通大学医学院,,,,656,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科二批A段,上海体育学院,,,,513,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批A段,上海健康医学院,,,,420,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科二批A段,上海商学院,,,,489,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批A段,上海商学院,,,,472,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批A段,上海外国语大学,,,,589,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,上海外国语大学,,,,619,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科三批A段,上海外国语大学贤达经济人文学院,,,,398,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科三批A段,上海外国语大学贤达经济人文学院,,,,372,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批A段,上海大学,,,,579,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,上海大学,,,,593,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批A段,上海对外经贸大学,,,,569,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,上海对外经贸大学,,,,590,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批B段,上海工程技术大学,,,,412,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批A段,上海师范大学,,,,544,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,上海师范大学,,,,550,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科三批A段,上海师范大学天华学院,,,,383,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科三批A段,上海师范大学天华学院,,,,349,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批A段,上海应用技术大学,,,,466,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科三批A段,上海建桥学院,,,,400,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科三批A段,上海建桥学院,,,,358,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批A段,上海政法学院,,,,552,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,上海政法学院,,,,546,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科三批A段,上海杉达学院,,,,402,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科三批A段,上海杉达学院,,,,371,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批A段,上海海事大学,,,,544,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,上海海事大学,,,,548,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科二批B段,上海海洋大学,,,,431,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批B段,上海海洋大学,,,,429,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,上海理工大学,,,,556,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批A段,上海电力大学,,,,500,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,上海电机学院,,,,515,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批A段,上海立信会计金融学院,,,,561,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,上海立信会计金融学院,,,,572,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批A段,上海第二工业大学,,,,481,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批A段,上海财经大学,,,,617,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,上海财经大学,,,,643,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科三批A段,上海财经大学浙江学院,,,,441,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科三批A段,上海财经大学浙江学院,,,,364,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科二批,上饶师范学院,,,,429,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批,上饶师范学院,,,,416,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批B段,东北农业大学,,,,464,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批B段,东北农业大学,,,,449,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批A段,东北大学,,,,561,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批B段,东北大学,,,,504,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批A段,东北大学秦皇岛分校,,,,549,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,东北大学秦皇岛分校,,,,567,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批B段,东北师范大学,,,,509,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批B段,东北师范大学,,,,498,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批A段,东北林业大学,,,,531,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批B段,东北林业大学,,,,473,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科二批B段,东北电力大学,,,,416,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批B段,东北电力大学,,,,410,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批B段,东北石油大学,,,,431,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批B段,东北石油大学,,,,388,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批B段,东北财经大学,,,,505,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批B段,东北财经大学,,,,523,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,东华大学,,,,578,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批A段,东华理工大学,,,,446,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,东南大学,,,,626,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科三批A段,东南大学成贤学院,,,,402,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科三批A段,东南大学成贤学院,,,,364,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科三批A段,东莞城市学院,,,,353,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科三批A段,东莞城市学院,,,,336,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,中北大学,,,,514,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科二批A段,中华女子学院,,,,476,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批A段,中华女子学院,,,,459,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批A段,中南大学,,,,574,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,中南大学,,,,601,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科二批A段,中南林业科技大学,,,,477,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批A段,中南林业科技大学,,,,453,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科二批B段,中南民族大学,,,,432,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批B段,中南民族大学,,,,363,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批B段,中南财经政法大学,,,,539,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,中南财经政法大学,,,,616,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科二批A段,中原工学院,,,,434,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批A段,中原工学院,,,,394,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批A段,中国人民大学,,,,589,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,中国人民大学,,,,633,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批B段,中国人民解放军陆军工程大学,,,,419,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批B段,中国传媒大学,,,,542,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批B段,中国传媒大学,,,,519,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,中国农业大学,,,,591,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科二批A段,中国劳动关系学院,,,,485,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批A段,中国劳动关系学院,,,,461,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,中国医科大学,,,,456,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批A段,中国地质大学（北京）,,,,552,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批B段,中国地质大学（北京）,,,,518,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科一批A段,中国政法大学,,,,589,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科一批A段,中国政法大学,,,,621,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科二批A段,中国民用航空飞行学院,,,,486,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批A段,中国民用航空飞行学院,,,,478,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,历史,本科二批A段,中国民航大学,,,,512,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,黑龙江,物理,本科二批A段,中国民航大学,,,,509,,黑龙江省招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
