年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2022,江苏,历史,本科批,三亚学院,,,57,471,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,物理,本科批,三亚学院,,,43,438,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,历史,本科批,三峡大学,（01）,,15,520,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,物理,本科批,三峡大学,,,22,556,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,物理,本科批,三峡大学,（04）,,8,522,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,物理,本科批,三峡大学,（05）,,4,539,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,历史,本科批,三峡大学科技学院,（01）,,14,477,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,物理,本科批,三峡大学科技学院,（02）,,24,447,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,历史,本科批,三明学院,（01）,,7,500,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,物理,本科批,三明学院,（02）,,13,484,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,历史,本科批,三江学院,（01）,,677,485,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,物理,本科批,三江学院,（02）,,1190,458,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,物理,本科批,三江学院,（03）,,159,438,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,历史,本科批,上海中侨职业技术大学,（01）,,18,473,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,物理,本科批,上海中侨职业技术大学,（03）,,2,458,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,物理,本科批,上海中医药大学,（01）,,,605,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,物理,本科批,上海中医药大学,（02）,,4,568,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,历史,本科批,上海交通大学,（01）,,1,633,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,物理,本科批,上海交通大学,,,9,646,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,江苏,物理,本科批,上海交通大学医学院,,,,642,,江苏省教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
