年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2017,辽宁,历史,本科一批,三亚学院,,,,432,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,三亚学院,,,,378,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,三峡大学,,,,518,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,三峡大学,,,,479,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,三峡大学科技学院,,,,447,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,三峡大学科技学院,,,,391,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,三明学院,,,,479,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,三明学院,,,,388,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,上海交通大学,,,,629,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海交通大学,,,,678,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海交通大学医学院,,,,662,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海健康医学院,,,,450,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,上海商学院,,,,535,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海商学院,,,,513,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,上海外国语大学,,,,606,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海外国语大学,,,,630,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,上海外国语大学贤达经济人文学院,,,,443,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海外国语大学贤达经济人文学院,,,,407,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海大学,,,,602,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,上海对外经贸大学,,,,586,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海对外经贸大学,,,,600,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海工程技术大学,,,,496,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,上海师范大学,,,,553,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海师范大学,,,,531,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,上海师范大学天华学院,,,,454,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海师范大学天华学院,,,,394,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海应用技术大学,,,,481,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,上海建桥学院,,,,457,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海建桥学院,,,,376,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,上海政法学院,,,,528,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海政法学院,,,,526,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,上海杉达学院,,,,462,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海杉达学院,,,,419,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,上海海事大学,,,,574,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海海事大学,,,,536,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,上海海关学院,,,,541,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海海关学院,,,,521,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海海洋大学,,,,497,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,上海理工大学,,,,566,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海理工大学,,,,557,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海电力大学,,,,550,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,上海立信会计金融学院,,,,576,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海立信会计金融学院,,,,573,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海第二工业大学,,,,495,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,上海视觉艺术学院,,,,499,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海视觉艺术学院,,,,478,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,上海财经大学,,,,624,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,上海财经大学,,,,653,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科二批,上饶师范学院,,,,484,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科二批,上饶师范学院,,,,406,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,东北农业大学,,,,541,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,东北农业大学,,,,480,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,东北大学,,,,586,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,东北大学,,,,593,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,东北大学秦皇岛分校,,,,564,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,东北大学秦皇岛分校,,,,565,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,东北师范大学,,,,541,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,东北师范大学,,,,529,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,东北林业大学,,,,545,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,东北林业大学,,,,522,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,历史,本科一批,东北电力大学,,,,561,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,辽宁,物理,本科一批,东北电力大学,,,,507,,辽宁省招生考试之窗,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
