年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2025,陕西,物理,本科批,三亚学院,普通类,投资学（量化投资）,1,440,97982,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三亚学院,普通类,金融科技,1,439,98706,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三亚学院,普通类,市场营销（数字营销）,1,422,110654,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三亚学院,普通类,电子信息工程,1,421,111366,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三亚学院,普通类,测控技术与仪器,1,414,116086,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三亚学院,普通类,广告学（数字传播）,1,407,120584,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三亚学院,普通类,通信工程,1,406,121215,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三亚学院,普通类,健康服务与管理,1,405,121855,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三亚学院,普通类,旅游管理（智慧旅游大数据）,1,398,126063,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三亚学院,普通类,新能源科学与工程,2,398,126063,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三江学院,普通类,人工智能,2,433,102976,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三江学院,普通类,计算机科学与技术（教学地点：江苏省南京市江宁区中水路58号）,15,430,105021,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三江学院,普通类,软件工程（教学地点：江苏省南京市江宁区中水路58号）,5,430,105021,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三江学院,普通类,会计学（教学地点：江苏省南京市江宁区中水路58号）,4,429,105751,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三江学院,普通类,网络空间安全（教学地点：江苏省南京市江宁区中水路58号）,3,429,105751,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三江学院,普通类,智能建造与智慧交通,5,427,107147,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三江学院,普通类,英语（招英语、日语语种考生；教学地点：江苏省南京市江宁区中水路58号）,3,421,111366,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,三江学院,普通类,建筑学,3,418,113425,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,历史,本科批,上海交通大学,普通类,,,666,49,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,历史,本科批,上海交通大学,普通类,法学试验班（含双学士学位项目）（法学）（含法学-经济学双学士学位项目）,1,666,49,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
2025,陕西,物理,本科批,上海交通大学,专项计划,工科试验班类（国家专项计划）（国家专项）（溥渊未来技术学院，健康方向）（健康科学与技术）,1,678,583,掌上高考(gaokao.cn),https://github.com/1837620622/gaokao-admission-crawler
