年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2017,山东,历史,本科批,三亚学院,,,,496,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,三亚学院,,,,461,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,三峡大学,,,,536,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,三峡大学,,,,552,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,三峡大学科技学院,,,,458,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,三明学院,,,,498,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,三明学院,,,,458,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,三江学院,,,,491,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,三江学院,,,,451,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海中医药大学,,,,572,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海交通大学,,,,633,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海交通大学,,,,675,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海交通大学医学院,,,,675,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海体育学院,,,,539,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海健康医学院,,,,487,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海商学院,,,,544,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海商学院,,,,547,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海外国语大学,,,,612,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海外国语大学,,,,635,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海外国语大学贤达经济人文学院,,,,495,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海外国语大学贤达经济人文学院,,,,463,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海大学,,,,589,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海大学,,,,608,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海对外经贸大学,,,,592,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海对外经贸大学,,,,606,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海工程技术大学,,,,552,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海工程技术大学,,,,541,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海师范大学,,,,554,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海师范大学,,,,547,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海应用技术大学,,,,526,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海建桥学院,,,,484,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海建桥学院,,,,450,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海政法学院,,,,526,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海政法学院,,,,501,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海杉达学院,,,,497,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海杉达学院,,,,469,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海海事大学,,,,578,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海海事大学,,,,567,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海海关学院,,,,569,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海海关学院,,,,578,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海海洋大学,,,,546,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海海洋大学,,,,493,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海理工大学,,,,569,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海理工大学,,,,580,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海电力大学,,,,558,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海电力大学,,,,579,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海电机学院,,,,527,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海电机学院,,,,515,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海立信会计金融学院,,,,576,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海立信会计金融学院,,,,581,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海第二工业大学,,,,540,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海视觉艺术学院,,,,499,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海视觉艺术学院,,,,486,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海财经大学,,,,628,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海财经大学,,,,660,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,上海财经大学浙江学院,,,,503,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,上海财经大学浙江学院,,,,466,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,东北农业大学,,,,564,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,东北农业大学,,,,568,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,东北大学,,,,588,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,东北大学,,,,583,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,东北大学秦皇岛分校,,,,579,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,东北大学秦皇岛分校,,,,591,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,东北师范大学,,,,557,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,东北师范大学,,,,563,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,东北林业大学,,,,569,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,东北林业大学,,,,574,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,东北电力大学,,,,483,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,东北电力大学,,,,563,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,东北石油大学,,,,517,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,东北石油大学,,,,506,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,东北财经大学,,,,562,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,东北财经大学,,,,577,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,东华大学,,,,591,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,东华大学,,,,609,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,东华理工大学,,,,521,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,东华理工大学,,,,521,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,东南大学,,,,610,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,东南大学,,,,644,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,东南大学成贤学院,,,,495,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,东南大学成贤学院,,,,458,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,东莞理工学院,,,,503,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,东莞理工学院,,,,497,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,中北大学,,,,545,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,中北大学,,,,555,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,中华女子学院,,,,530,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,中华女子学院,,,,511,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,中南大学,,,,599,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,中南大学,,,,620,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,中南林业科技大学,,,,546,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,中南林业科技大学,,,,535,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,中南民族大学,,,,506,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,中南民族大学,,,,440,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,中南财经政法大学,,,,597,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,中南财经政法大学,,,,614,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,中原工学院,,,,504,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,中原工学院,,,,471,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,中国人民大学,,,,637,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,中国人民大学,,,,612,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,中国人民大学,,,,666,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,中国人民大学,,,,641,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,中国人民解放军陆军工程大学,,,,574,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,中国传媒大学,,,,584,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,中国传媒大学,,,,603,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,中国农业大学,,,,561,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,中国农业大学,,,,553,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,中国劳动关系学院,,,,533,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,中国劳动关系学院,,,,518,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,中国医科大学,,,,569,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,中国地质大学（北京）,,,,584,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,中国地质大学（北京）,,,,589,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,物理,本科批,中国地质大学（北京）,,,,593,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山东,历史,本科批,中国政法大学,,,,617,,山东省教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
