年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2020,上海,综合,本科批,复旦大学,01,,,580,1293,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,复旦大学,02,,,580,1293,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,复旦大学,03,,,580,1293,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海交通大学,01,,,580,1293,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,同济大学,01,,,572,2045,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,同济大学,02,,,564,2909,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,华东师范大学,01,,,562,3166,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,华东师范大学,02,,,559,3607,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,华东师范大学,03,,,564,2909,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,华东师范大学,04,,,561,3310,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,华东理工大学,01,,,544,6112,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,华东理工大学,02,,,545,5947,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,华东理工大学,03,,,540,6893,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,华东理工大学,04,,,541,6709,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,东华大学,01,,,534,8045,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,东华大学,02,,,530,8909,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,东华大学,03,,,534,8045,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,东华大学,04,,,531,8698,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海财经大学,01,,,559,3607,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海财经大学,02,,,560,3454,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海外国语大学,01,,,555,4247,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海外国语大学,02,,,554,4403,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海海事大学,01,,,515,12178,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海海事大学,02,,,497,16300,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海海事大学,03,,,494,16961,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海海事大学,04,,,492,17440,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海理工大学,01,,,509,13496,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海理工大学,02,,,510,13263,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海理工大学,03,,,517,11759,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海理工大学,04,,,504,14678,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海杉达学院,01,,,434,30520,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海杉达学院,02,,,400,36437,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海杉达学院,03,,,442,28823,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,华东政法大学,01,,,554,4403,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,华东政法大学,02,,,528,9329,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,华东政法大学,03,,,539,7072,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,华东政法大学,04,,,528,9329,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海对外经贸大学,01,,,531,8698,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海对外经贸大学,02,,,518,11557,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海对外经贸大学,03,,,524,10230,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,复旦医学,01,,,578,1474,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海海大,01,,,488,18373,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海海大,02,,,487,18646,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海海大,03,,,483,19637,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海海大,04,,,481,20102,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海海大,05,,,471,22555,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海海大,06,,,473,22058,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海戏剧学院,01,,,518,11557,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海电力大学,01,,,492,17440,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海电力大学,02,,,446,28039,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海电力大学,03,,,467,23446,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海电力大学,04,,,466,23646,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海电力大学,05,,,470,22810,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海音乐学院,01,,,514,12398,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海音乐学院,02,,,509,13496,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海大学,01,,,540,6893,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海大学,02,,,528,9329,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海大学,03,,,530,8909,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海大学,04,,,535,7835,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海大学,05,,,538,7268,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,交大医学,01,,,580,1293,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海中医药大学,01,,,519,11315,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海中医药大学,02,,,506,14212,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海应用技术大学,01,,,429,31431,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海应用技术大学,02,,,431,31075,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海应用技术大学,03,,,416,33768,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海应用技术大学,04,,,464,24090,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海应用技术大学,05,,,485,19146,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海应用技术大学,06,,,459,25189,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海应用技术大学,07,,,460,24994,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海应用技术大学,08,,,467,23446,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海应用技术大学,09,,,458,25407,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海师范大学,01,,,511,13064,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海师范大学,02,,,522,10666,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海师范大学,03,,,508,13727,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海师范大学,04,,,502,15145,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,工程大,01,,,475,21577,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,工程大,02,,,458,25407,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,工程大,03,,,475,21577,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,工程大,04,,,471,22555,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,工程大,05,,,478,20868,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海体院,01,,,504,14678,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海体院,02,,,482,19873,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海体院,03,,,480,20370,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海体院,04,,,480,20370,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海体院,05,,,477,21099,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海体院,06,,,451,26988,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,海南医科大学,01,,,534,8045,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海立信会计金融学院,01,,,481,20102,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海立信会计金融学院,02,,,486,18903,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海立信会计金融学院,03,,,477,21099,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
2020,上海,综合,本科批,上海立信会计金融学院,04,,,485,19146,上海市教育考试院,https://github.com/666keke/Shanghai-Gaokao
