年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2017,山西,历史,本科二批C段,三亚学院,,,,378,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科二批C段,三亚学院,,,,312,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科一批B段,三峡大学,,,,482,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,历史,本科二批C段,三峡大学科技学院,,,,391,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科二批C段,三峡大学科技学院,,,,345,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,历史,本科二批B段,三明学院,,,,463,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科二批B段,三明学院,,,,404,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,历史,本科二批C段,三江学院,,,,422,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科二批C段,三江学院,,,,342,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科二批A段,上海中医药大学,,,,481,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,历史,本科一批A段,上海交通大学,,,,618,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科一批A段,上海交通大学,,,,642,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科一批A段,上海交通大学医学院,,,,622,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,历史,本科二批A段,上海体育学院,,,,507,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科二批A段,上海体育学院,,,,459,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,历史,本科二批C段,上海兴伟学院,,,,335,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科二批C段,上海兴伟学院,,,,290,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,历史,本科二批A段,上海商学院,,,,511,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科二批A段,上海商学院,,,,469,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,历史,本科一批A段,上海外国语大学,,,,581,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科一批A段,上海外国语大学,,,,578,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,历史,本科二批C段,上海外国语大学贤达经济人文学院,,,,400,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科二批C段,上海外国语大学贤达经济人文学院,,,,325,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,历史,本科一批,上海大学,,,,547,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科一批,上海大学,,,,535,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,历史,本科一批B段,上海对外经贸大学,,,,546,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科一批B段,上海对外经贸大学,,,,523,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科二批B段,上海工程技术大学,,,,447,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,历史,本科二批A段,上海师范大学,,,,518,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科二批A段,上海师范大学,,,,475,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,历史,本科二批C段,上海师范大学天华学院,,,,385,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科二批C段,上海师范大学天华学院,,,,290,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,历史,本科二批A段,上海应用技术大学,,,,511,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科二批A段,上海应用技术大学,,,,466,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,历史,本科二批C段,上海建桥学院,,,,386,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,山西,物理,本科二批C段,上海建桥学院,,,,303,,山西省招生考试管理中心,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
