年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2017,天津,历史,本科二批,三亚学院,,,,345,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科二批,三亚学院,,,,358,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科二批,三峡大学,,,,473,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科二批,三峡大学,,,,485,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科二批,三峡大学科技学院,,,,347,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科二批,三峡大学科技学院,,,,378,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,上海交通大学,,,,641,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,上海交通大学,,,,679,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,上海交通大学医学院,,,,672,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科二批,上海体育学院,,,,522,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科二批,上海健康医学院,,,,452,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,上海外国语大学,,,,599,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,上海外国语大学,,,,617,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,上海对外经贸大学,,,,571,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,上海对外经贸大学,,,,581,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科二批,上海工程技术大学,,,,500,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,上海政法学院,,,,545,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,上海政法学院,,,,544,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,上海海事大学,,,,560,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科提前批,上海海事大学,,,,454,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科二批,上海海关学院,,,,527,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科二批,上海海关学院,,,,523,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科二批,上海海洋大学,,,,510,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,上海理工大学,,,,548,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,上海电力大学,,,,543,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科二批,上海立信会计金融学院,,,,537,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科二批,上海立信会计金融学院,,,,524,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,上海财经大学,,,,615,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,上海财经大学,,,,659,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科二批,上饶师范学院,,,,448,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科二批,上饶师范学院,,,,448,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,东北农业大学,,,,537,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,东北农业大学,,,,536,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,东北大学,,,,599,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,东北大学秦皇岛分校,,,,554,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,东北大学秦皇岛分校,,,,577,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,东北师范大学,,,,593,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,东北师范大学,,,,575,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,东北林业大学,,,,542,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,东北林业大学,,,,532,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,东北电力大学,,,,491,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科二批A段,东北电力大学,,,,500,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,东北石油大学,,,,533,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,东北石油大学,,,,524,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,东北财经大学,,,,551,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,东北财经大学,,,,582,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,东华大学,,,,582,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科二批A段,东华理工大学,,,,448,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科二批,东华理工大学,,,,444,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,东南大学,,,,596,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,东南大学,,,,626,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科二批,中北大学,,,,478,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科二批,中北大学,,,,463,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,中南大学,,,,585,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,中南大学,,,,605,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科二批,中南林业科技大学,,,,474,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科二批,中南林业科技大学,,,,452,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科二批B段,中南民族大学,,,,475,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,中南财经政法大学,,,,585,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,中南财经政法大学,,,,602,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科二批,中原工学院,,,,396,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,历史,本科一批,中国人民大学,,,,629,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科一批,中国人民大学,,,,655,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2017,天津,物理,本科二批,中国人民解放军陆军工程大学,,,,517,,天津市教育招生考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
