年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2022,新疆,历史,本科二批,三亚学院,,,67,334,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科二批,三亚学院,,,39,301,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科一批,三峡大学,,,3,368,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科一批,三峡大学,,,4,339,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科二批,三峡大学科技学院,,,10,359,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科二批,三峡大学科技学院,,,9,322,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科二批,三明学院,,,2,406,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科二批,三明学院,,,13,345,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科二批,三江学院,,,29,322,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科一批,上海中医药大学,,,,479,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科一批,上海中医药大学,,,2,402,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科一批,上海交通大学,,,4,581,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科一批,上海交通大学,,,3,637,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科一批,上海交通大学医学院,,,1,639,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科一批,上海健康医学院,,,5,430,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科二批,上海商学院,,,31,421,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科二批,上海商学院,,,34,385,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科一批,上海外国语大学,,,8,536,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科一批,上海外国语大学,,,9,544,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科二批,上海外国语大学贤达经济人文学院,,,15,339,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科二批,上海外国语大学贤达经济人文学院,,,13,291,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科一批,上海大学,,,4,527,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科一批,上海大学,,,41,448,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科一批,上海对外经贸大学,,,7,474,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科一批,上海对外经贸大学,,,13,486,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科二批,上海工程技术大学,,,2,442,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科二批,上海工程技术大学,,,43,386,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科一批,上海师范大学,,,14,446,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科一批,上海师范大学,,,8,466,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科二批,上海师范大学天华学院,,,,334,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科二批,上海师范大学天华学院,,,,310,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科一批,上海应用技术大学,,,9,443,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科二批,上海应用技术大学,,,21,383,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科二批,上海建桥学院,,,20,335,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科二批,上海建桥学院,,,26,317,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科一批,上海戏剧学院,,,2,467,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科一批,上海戏剧学院,,,1,457,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科一批,上海政法学院,,,6,496,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科一批,上海政法学院,,,6,463,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科一批,上海海事大学,,,18,465,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科一批,上海海事大学,,,70,401,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,历史,本科一批,上海海洋大学,,,15,468,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,新疆,物理,本科一批,上海海洋大学,,,57,445,,新疆招生网,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
