年份,生源省份,科类,批次,院校名称,院校专业组,专业,计划数,最低分,最低位次,数据来源,来源链接
2022,西藏,历史,本科一批,三峡大学,,,,344,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,三峡大学,,,,355,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,上海中医药大学,,,,361,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,上海海事大学,,,,346,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,上海海洋大学,,,,310,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,中北大学,,,,350,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,中北大学,,,,342,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科提前批,中国人民解放军陆军军医大学,,,,408,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,国家专项计划本科批,中国劳动关系学院,,,,372,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,中国医科大学,,,,381,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,中国海洋大学,,,,550,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,中国海洋大学,,,,524,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,中国石油大学（北京）,,,,446,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,中山大学,,,,430,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,中山大学,,,,466,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,云南大学,,,1,373,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,云南大学,,,5,314,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,北京中医药大学,,,,385,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,华南理工大学,,,,406,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,南京信息工程大学,,,,367,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,南京信息工程大学,,,,319,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,南京医科大学,,,,423,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,南京邮电大学,,,1,513,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,南华大学,,,,370,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,太原理工大学,,,,405,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,山东师范大学,,,,441,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,山东师范大学,,,,434,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科二批,山西传媒学院,,,,306,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科二批,山西传媒学院,,,,266,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,山西大学,,,,422,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,广东工业大学,,,,346,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,广东工业大学,,,,308,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科二批,怀化学院,,,,324,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科二批,昆明医科大学海源学院,,,,269,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,武汉工程大学,,,,348,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科二批,江西中医药大学,,,,389,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科二批,江西中医药大学,,,,332,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科二批,沈阳理工大学,,,,275,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科二批,河南中医药大学,,,,339,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科二批,河南中医药大学,,,,275,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,海南医科大学,,,,310,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,海南大学,,,,390,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,海南大学,,,,324,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,海南师范大学,,,,383,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,海南师范大学,,,,371,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科二批,海南热带海洋学院,,,,313,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科二批,海南热带海洋学院,,,,266,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,温州医科大学,,,,353,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,湖北工业大学,,,,344,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科二批,湖南人文科技学院,,,,318,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科二批,湖南女子学院,,,,310,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,湘潭大学,,,,363,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,湘潭大学,,,,391,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科二批,琼台师范学院,,,,312,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科二批,琼台师范学院,,,,284,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,福州大学,,,,397,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,福州大学,,,,325,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,历史,本科一批,西南政法大学,,,,343,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科一批,西南政法大学,,,,361,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
2022,西藏,物理,本科二批,西南林业大学,,,3,337,,西藏教育考试院,https://huggingface.co/datasets/choucsan/Gaokao-Compass-11M
